Match Date,Home Team,Home Team Score,Away Team,Away Team Score
"
",Blues,"
",Hurricanes,13
12/05/18,Chiefs, 43,Rebels,13
"
",Reds,"
",Crusaders,27
12/05/18,Brumbies,"
",Waratahs,18
"
",Blues, 34,Sunwolves,38
12/05/18,Rebels,"
",Reds,26
12/05/18,Highlanders,"
",Waratahs,14
"
",Brumbies,27,Chiefs,20
12/05/18,Sunwolves,"
",Hurricanes,34
"
",Sharks,"
",Bulls,52
12/05/18,Jaguares,13,Lions,31
19/05/18,Crusaders,"
",Stormers,16
19/05/18,Reds,"
",Highlanders,31
19/05/18,Chiefs, 8,Rebels,45
19/05/18,Hurricanes,"
",Brumbies,12
19/05/18,Waratahs,"
",Blues,37
25/05/18,Bulls, 28,Sunwolves,24
25/05/18,Stormers ,"
", Jaguares,14
26/05/18,Chiefs,19,Sharks,22
26/05/18,Reds, 10,Hurricanes,23
26/05/18,Highlanders, 21,Sunwolves,19
26/05/18,Crusaders, 28,Rebels,24
01/06/18,Waratahs, 29,Blues,25
02/06/18,Lions,38,Brumbies,34
"
",Sharks,"
",Bulls,16
02/06/18,Hurricanes,15, Jaguares,24
"
",Crusaders,"
",Chiefs,27
02/06/18,Waratahs,"
",Sharks,37
"
",Lions,63,Highlanders,17
02/06/18,Crusaders,"
",Jaguares,40
"
",Lions,"
",Hurricanes,12
02/06/18,Crusaders, 31,Waratahs,10
